Nome,Categoria,Bio
James Anderson,MASSONE,È un **Massone**. Precisamente: **Ministro presbiteriano, redattore di "The Constitutions of the Free-Masons" (1723), testo fondamentale della Massoneria.**
Joseph Anderson,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per il Tennessee.**
Robert Anderson,MASSONE,È un **Massone**. Precisamente: **Ufficiale dell'Unione, comandante di Fort Sumter.**
Robert B. Anderson,MASSONE,È un **Massone**. Precisamente: **Segretario della Marina e Segretario del Tesoro degli Stati Uniti.**
Robert H. Anderson,MASSONE,È un **Massone**. Precisamente: **Ufficiale di cavalleria e artiglieria nell'Esercito Confederato.**
Rudolph Martin Anderson,MASSONE,È un **Massone**. Precisamente: **Zoologo ed esploratore canadese.**
Sigurd Anderson,MASSONE,È un **Massone**. Precisamente: **19° governatore del Sud Dakota.**
Victor Emanuel Anderson,MASSONE,È un **Massone**. Precisamente: **28° governatore del Nebraska.**
William F. Anderson,MASSONE,È un **Massone**. Precisamente: **Pastore metodista americano, scrittore ed educatore.**
William Hamilton Anderson,MASSONE,È un **Massone**. Precisamente: **Proibizionista americano.**
Charles Anderson-Pelham,MASSONE,È un **Massone**. Precisamente: **Politico britannico.**
Edward Andrade,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Fisico inglese, condusse ricerche pionieristiche in fisica**, è anche massone per il seguente motivo: **Iniziato nella Loggia Progresso No. 4.**
Ignacio Andrade,MASSONE,È un **Massone**. Precisamente: **Presidente del Venezuela.**
Gyula Andrássy,MASSONE,È un **Massone**. Precisamente: **Statista ungherese, Primo Ministro e Ministro degli Esteri dell'Austria-Ungheria.**
Johannes Valentinus Andreae,MASSONE,È un **Massone**. Precisamente: **Teologo protestante e scrittore, associato ai Rosacroce.**
Louis André,MASSONE,È un **Massone**. Precisamente: **Soldato francese, Ministro della Guerra.**
Charles O. Andrews,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per la Florida.**
Frank Andrews,MASSONE,È un **Massone**. Precisamente: **Primo Assistente Procuratore Generale del Texas.**
Robert Andrews,MASSONE,È un **Massone**. Precisamente: **Cappellano del 2° Reggimento della Virginia e primo Gran Maestro della Virginia.**
Ivo Andrić,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scrittore jugoslavo, vincitore del Premio Nobel per la Letteratura (1975)**, è anche massone per il seguente motivo: **Autore di fama mondiale.**
Frank M. Angellotti,MASSONE,È un **Massone**. Precisamente: **Chief Justice della California.**
Levi Ankeny,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per lo Stato di Washington.**
Arthur Annesley,MASSONE,È un **Massone**. Precisamente: **1° Conte di Mountnorris, pari irlandese.**
George Annesley,MASSONE,È un **Massone**. Precisamente: **2° Conte di Mountnorris, pari irlandese.**
Martin Frederick Ansel,MASSONE,È un **Massone**. Precisamente: **89° governatore della Carolina del Sud.**
Martin C. Ansorge,MASSONE,È un **Massone**. Precisamente: **Congressman per New York.**
Jules Anspach,MASSONE,È un **Massone**. Precisamente: **Politico belga.**
William Anstruther-Gray,MASSONE,È un **Massone**. Precisamente: **Politico britannico.**
Galicano Apacible,MASSONE,È un **Massone**. Precisamente: **Politico filippino.**
Apathy,MASSONE,È un **Massone**. Precisamente: **Rapper underground americano, noto come Chad Bromley.**
Raymond Apple,MASSONE,È un **Massone**. Precisamente: **Capo Rabbino della Grande Sinagoga di Sydney, Australia.**
T. Frank Appleby,MASSONE,È un **Massone**. Precisamente: **Congressman per il New Jersey.**
Sir Edward Victor Appleton,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Fisico britannico, vincitore del Premio Nobel (1947), noto per la scoperta dello strato di Appleton (ionosfera)**, è anche massone per il seguente motivo: **Membro della Isaac Newton University Lodge No. 859, Cambridge.**
W. A. Appleton,MASSONE,È un **Massone**. Precisamente: **Sindacalista e politico britannico.**
Matthew Arbuckle,MASSONE,È un **Massone**. Precisamente: **Soldato di carriera nell'Esercito degli Stati Uniti.**
John Arbuthnot,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Medico e satirista britannico, co-creatore del personaggio John Bull**, è anche massone per il seguente motivo: **Intellettuale e letterato dell'epoca.**
Branch T. Archer,MASSONE,È un **Massone**. Precisamente: **Commissario texano negli Stati Uniti, Segretario alla Guerra della Repubblica del Texas.**
Dennis Archer,MASSONE,È un **Massone**. Precisamente: **Politico statunitense, Sindaco di Detroit.**
Germán Arciniegas,MASSONE,È un **Massone**. Precisamente: **Storico e intellettuale pubblico colombiano.**
Leslie C. Arends,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Illinois.**
Constantin Argetoianu,MASSONE,È un **Massone**. Precisamente: **Primo Ministro della Romania.**
Richard Arlen,MASSONE,È un **Massone**. Precisamente: **Attore cinematografico e televisivo americano.**
Lewis Armistead,MASSONE,È un **Massone**. Precisamente: **Generale Confederato durante la Guerra Civile Americana.**
David H. Armstrong,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per il Missouri.**
Henry W. Armstrong,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Compositore di Tin Pan Alley, autore della canzone "Sweet Adeline"**, è anche massone per il seguente motivo: **Compositore di successo.**
John Armstrong Jr.,MASSONE,È un **Massone**. Precisamente: **Soldato, delegato al Congresso Continentale, Senatore degli Stati Uniti e Segretario alla Guerra.**
Sir Richard Armstrong,MASSONE,È un **Massone**. Precisamente: **Ufficiale dell'Esercito britannico.**
Edward F. Arn,MASSONE,È un **Massone**. Precisamente: **32° governatore del Kansas.**
Ellis Arnall,MASSONE,È un **Massone**. Precisamente: **69° governatore dello Stato della Georgia.**
Thomas Arne,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Compositore britannico, autore dell'inno patriottico "Rule Britannia"**, è anche massone per il seguente motivo: **Compositore di fama internazionale.**
Benedict Arnold,MASSONE,È un **Massone**. Precisamente: **Generale americano e traditore.**
Eddy Arnold,MASSONE,È un **Massone**. Precisamente: **Cantante americano, icona della musica country.**
Henry H. Arnold,MASSONE,È un **Massone**. Precisamente: **Generale americano, unica persona a detenere il grado a cinque stelle in due rami di servizio.**
Samuel W. (Wat) Arnold,MASSONE,È un **Massone**. Precisamente: **Congressman per il Missouri.**
William W. Arnold,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Illinois.**
J. Hugo Aronson,MASSONE,È un **Massone**. Precisamente: **14° governatore del Montana.**
François-Marie Arouet,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scrittore, storico, filosofo e uno dei padri dell'Illuminismo**, è anche massone per il seguente motivo: **Iniziato nel 1778 dalla Loggia des Neuf Sœurs di Parigi.**
Emin Arslan,MASSONE,È un **Massone**. Precisamente: **Giornalista e diplomatico libanese.**
Harold J. Arthur,MASSONE,È un **Massone**. Precisamente: **68° governatore del Vermont.**
Jacob Arvey,MASSONE,È un **Massone**. Precisamente: **Influente leader politico di Chicago.**
Gheorghe Asachi,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scrittore, poeta, pittore, storico, drammaturgo e traduttore rumeno**, è anche massone per il seguente motivo: **Figura poliedrica della cultura rumena.**
Frank G. Ashbrook,MASSONE,È un **Massone**. Precisamente: **Mammalogo americano.**
William A. Ashbrook,MASSONE,È un **Massone**. Precisamente: **Congressman per l'Ohio.**
Turner Ashby,MASSONE,È un **Massone**. Precisamente: **Comandante di cavalleria confederato.**
Bowman Foster Ashe,MASSONE,È un **Massone**. Precisamente: **Educatore statunitense, primo presidente dell'Università di Miami.**
James Mitchell Ashley,MASSONE,È un **Massone**. Precisamente: **Congressman, governatore territoriale del Montana.**
Anthony Ashley-Cooper,MASSONE,È un **Massone**. Precisamente: **7° Conte di Shaftesbury, filantropo e riformatore sociale inglese.**
Elias Ashmole,MASSONE,È un **Massone**. Precisamente: **Antiquario, politico e astrologo inglese, noto per essere il primo massone non operativo registrato in Inghilterra.**
Wayne N. Aspinall,MASSONE,È un **Massone**. Precisamente: **Congressman per il Colorado.**
John Jacob Astor,MASSONE,È un **Massone**. Precisamente: **Finanziere americano, fondatore del primo trust americano. Membro di Holland Lodge No. 8, New York.**
David Rice Atchison,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per il Missouri.**
John Murray, 3rd Duke of Atholl,MASSONE,È un **Massone**. Precisamente: **Gran Maestro della Gran Loggia d'Inghilterra e della Gran Loggia di Scozia.**
John Murray, 4th Duke of Atholl,MASSONE,È un **Massone**. Precisamente: **Gran Maestro di Scozia.**
George Murray, 6th Duke of Atholl,MASSONE,È un **Massone**. Precisamente: **Gran Maestro Muratore di Scozia e Gran Maestro d'Inghilterra.**
John Stewart-Murray, 8th Duke of Atholl,MASSONE,È un **Massone**. Precisamente: **Soldato scozzese e politico conservatore. Gran Maestro Muratore di Scozia.**
Smith D. Atkins,MASSONE,È un **Massone**. Precisamente: **Editore di giornali, avvocato e colonnello dell'Unione.**
Arthur K. Atkinson,MASSONE,È un **Massone**. Precisamente: **Presidente della Wabash Railroad.**
George W. Atkinson,MASSONE,È un **Massone**. Precisamente: **Decimo governatore del West Virginia.**
William Yates Atkinson,MASSONE,È un **Massone**. Precisamente: **55° governatore della Georgia.**
William Wallace Atterbury,MASSONE,È un **Massone**. Precisamente: **Presidente della Pennsylvania Railroad e Generale di brigata dell'esercito americano.**
John James Audubon,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Ornitologo e artista americano, noto per le sue illustrazioni dettagliate degli uccelli nordamericani ("Birds of America")**, è anche massone per il seguente motivo: **Naturalista e artista di fama mondiale.**
Arnold Jacob "Red" Auerbach,MASSONE,È un **Massone**. Precisamente: **Allenatore di pallacanestro americano, figura leggendaria della NBA.**
John Auldjo,MASSONE,È un **Massone**. Precisamente: **Esploratore britannico, alpinista e autore.**
Henry Aurand,MASSONE,È un **Massone**. Precisamente: **Ufficiale di carriera dell'Esercito degli Stati Uniti.**
Moses Austin,MASSONE,È un **Massone**. Precisamente: **Assicurò una concessione di 200.000 acri in Texas.**
Stephen F. Austin,MASSONE,È un **Massone**. Precisamente: **Segretario di Stato per la Repubblica del Texas, considerato il "Padre del Texas".**
Warren Austin,MASSONE,È un **Massone**. Precisamente: **Politico e statista americano, Ambasciatore degli Stati Uniti presso le Nazioni Unite.**
Gene Autry,MASSONE,È un **Massone**. Precisamente: **Stella del cinema e della televisione, noto come "The Singing Cowboy".**
William H. Avery,MASSONE,È un **Massone**. Precisamente: **37° governatore del Kansas.**
Samuel Beach Axtell,MASSONE,È un **Massone**. Precisamente: **Chief Justice controverso e governatore del Territorio del New Mexico.**
Charles Brantley Aycock,MASSONE,È un **Massone**. Precisamente: **50° governatore della Carolina del Nord.**
William Augustus Ayres,MASSONE,È un **Massone**. Precisamente: **Membro della Camera dei Rappresentanti degli Stati Uniti per il Kansas.**
Allen Bristol Aylesworth,MASSONE,È un **Massone**. Precisamente: **Politico canadese.**
William Edmondstoune Aytoun,MASSONE,È un **Massone**. Precisamente: **Avvocato e poeta scozzese.**
Miguel de Azcuénaga,MASSONE,È un **Massone**. Precisamente: **Patriota argentino.**
Abdul Qadir Al Jaza'iri,MASSONE,È un **Massone**. Precisamente: **Mistio Sufi, studioso e leader politico, portò la Massoneria in Siria.**
Amadou Hampâté Bâ,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scrittore ed etnologo maliano, figura chiave della letteratura africana del XX secolo**, è anche massone per il seguente motivo: **Intellettuale e scrittore di fama.**
Frederick H. Babbitt,MASSONE,È un **Massone**. Precisamente: **Politico americano, presidente del Senato dello Stato del Vermont.**
Johann Christian Bach,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Compositore europeo del periodo classico, noto come il "Bach di Milano" o "Bach di Londra"**, è anche massone per il seguente motivo: **Membro della Loggia of Nine Muses No. 235, Londra.**
Nahum J. Bachelder,MASSONE,È un **Massone**. Precisamente: **49° governatore del New Hampshire.**
Irving Bacheller,MASSONE,È un **Massone**. Precisamente: **Giornalista e scrittore americano.**
Augustus Octavius Bacon,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per la Georgia.**
Robert L. Bacon,MASSONE,È un **Massone**. Precisamente: **Banchiere, tenente colonnello e congressman americano per New York.**
Walter W. Bacon,MASSONE,È un **Massone**. Precisamente: **60° governatore del Delaware.**
Robert Baddeley,MASSONE,È un **Massone**. Precisamente: **Attore inglese del Drury Lane Theatre.**
Michael Baden-Powell,MASSONE,È un **Massone**. Precisamente: **4° Barone Baden-Powell, nipote del fondatore del movimento Scout.**
Arthur P. Bagby,MASSONE,È un **Massone**. Precisamente: **Decimo governatore dell'Alabama.**
John J. Bagley,MASSONE,È un **Massone**. Precisamente: **16° governatore del Michigan.**
Karl Friedrich Bahrdt,MASSONE,È un **Massone**. Precisamente: **Teologo e avventuriero tedesco.**
Michael Baigent,MASSONE,È un **Massone**. Precisamente: **Autore britannico ed ex editore di Freemasonry Today.**
Carl Edward Bailey,MASSONE,È un **Massone**. Precisamente: **31° governatore dell'Arkansas.**
James E. Bailey,MASSONE,È un **Massone**. Precisamente: **Senatore degli Stati Uniti per il Tennessee.**
John O. Bailey,MASSONE,È un **Massone**. Precisamente: **Giudice americano e 27° Chief Justice della Corte Suprema dell'Oregon.**
Joseph Bailey,MASSONE,È un **Massone**. Precisamente: **1° Barone Glanusk, politico gallese.**
Leonard C. Bailey,MASSONE,È un **Massone**. Precisamente: **Uomo d'affari e inventore afroamericano.**
Nat Bailey,MASSONE,È un **Massone**. Precisamente: **Ristoratore canadese, fondatore di White Spot.**
Theodorus Bailey,MASSONE,È un **Massone**. Precisamente: **Ufficiale della Marina degli Stati Uniti durante la Guerra Civile.**
Thomas L. Bailey,MASSONE,È un **Massone**. Precisamente: **48° governatore del Mississippi.**
Edward Hodges Baily,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scultore inglese, noto per la statua di Nelson in Trafalgar Square**, è anche massone per il seguente motivo: **Artista di spicco.**
John Baird,MASSONE,È un **Massone**. Precisamente: **1° Visconte Stonehaven, Governatore-Generale dell'Australia.**
Bryant Baker,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Scultore britannico-americano, noto per la scultura di George Washington al Washington Masonic National Memorial**, è anche massone per il seguente motivo: **Artista di spicco.**
Howard Baker Sr.,MASSONE,È un **Massone**. Precisamente: **Congressman per il Tennessee.**
James Marion Baker,MASSONE,È un **Massone**. Precisamente: **Segretario del Senato degli Stati Uniti.**
Jonathan Baker,MASSONE,È un **Massone**. Precisamente: **Vescovo Anglicano britannico di Fulham.**
Josephine Baker,ENTRAMBI,È un **Genio e Massone**. Infatti, oltre a essere un genio per **Ballerina, cantante e attrice afroamericana-francese, icona dell'Art Déco e attivista**, è anche massone per il seguente motivo: **Icona culturale del XX secolo.**
Nathaniel B. Baker,MASSONE,È un **Massone**. Precisamente: **24° governatore del New Hampshire.**
